DJ,Ordre,Heure,Duree_min,Titre,Format,Type,Objectif_pedagogique,URL_ancree
DJ3,7,11:55,20,Consolidation - Carnet de bord DJ3,Individuel,Consolidation,Identifier les 3 premiers chantiers doc/support,https://agoriade-s6.vercel.app/dj3-documentation/#seq-7-consolidation
DJ3,8,12:15,15,Cloture DJ3 - Je retiens j'applique,Pleniere,Cloture,Ancrer et teaser DJ4,https://agoriade-s6.vercel.app/dj3-documentation/#seq-8-cloture
DJ4,1,13:30,15,Inclusion - Si j'etais le jury,Pleniere/Tour de table,Inclusion,Se mettre a la place du jury pour mieux preparer,https://agoriade-s6.vercel.app/dj4-mise-en-situation/#seq-1-inclusion
DJ4,2,13:45,20,Apport 1 - La grille du jury decryptee,Pleniere/Apport,Apport de contenu,Demystifier la grille d'evaluation et lister les 6 livrables attendus,https://agoriade-s6.vercel.app/dj4-mise-en-situation/#seq-2-apport-grille
DJ4,3,14:05,40,Pratique 1 - Simulation soutenance (2 volontaires),Pleniere/Simulation,Mise en situation,Faire passer 2 personnes en conditions reelles devant le groupe-jury,https://agoriade-s6.vercel.app/dj4-mise-en-situation/#seq-3-simulation-1
DJ4,4,14:45,25,Debrief + Les 5 pieges de la soutenance,Pleniere,Debrief + Apport,Consolider et apporter le cadre sur les ecueils classiques,https://agoriade-s6.vercel.app/dj4-mise-en-situation/#seq-4-debrief-simulation
DJ4,5,15:10,15,Pause,Pause,Pause,Coupure franche,https://agoriade-s6.vercel.app/dj4-mise-en-situation/#seq-5-pause
DJ4,6,15:25,60,Pratique 2 - Simulation binome croise + consolidation,Binome puis individuel,Mise en situation,Simulation pour les 4 restants + consolidation des livrables,https://agoriade-s6.vercel.app/dj4-mise-en-situation/#seq-6-simulation-2
DJ4,7,16:25,20,Plan d'action J-7 vers J-0,Individuel + pair-check,Plan d'action,Construire un retro-planning realiste pour les 9 jours,https://agoriade-s6.vercel.app/dj4-mise-en-situation/#seq-7-plan-action
DJ4,8,16:45,15,Cloture S6 - Ritual Je suis pret-e,Pleniere/Tour de table,Cloture,Terminer la Sequence 6 avec une cloture symbolique,https://agoriade-s6.vercel.app/dj4-mise-en-situation/#seq-8-cloture
